Name "RNA4T1A" "RNA4T1B" "EV4T1A" "EV4T1B"
529 "GeneID529" 0 0 0 0
530 "GeneID530" 0 0 0 0
531 "GeneID531" 0 0 0 1
532 "GeneID532" 0 0 0 0
533 "GeneID533" 9 3 0 0
534 "GeneID534" 0 0 0 0
535 "GeneID535" 0 0 0 0
536 "GeneID536" 0 1 0 0
537 "GeneID537" 0 0 0 0
538 "GeneID538" 0 0 0 0
539 "GeneID539" 0 0 0 0
540 "GeneID540" 0 0 0 0
541 "GeneID541" 0 0 0 0
542 "GeneID542" 1 0 0 0
543 "GeneID543" 0 0 0 0
544 "GeneID544" 0 0 0 0
545 "GeneID545" 0 0 0 0
546 "GeneID546" 0 0 0 0
547 "GeneID547" 0 0 0 0
548 "GeneID548" 0 0 0 0
549 "GeneID549" 0 0 0 0
550 "GeneID550" 0 0 0 0
551 "GeneID551" 0 2 0 0
552 "GeneID552" 0 0 0 0
553 "GeneID553" 0 0 0 0
554 "GeneID554" 0 0 0 0
555 "GeneID555" 0 0 0 0
556 "GeneID556" 0 0 0 0
557 "GeneID557" 0 0 0 0
558 "GeneID558" 10 2 0 0
559 "GeneID559" 0 0 0 0
560 "GeneID560" 1 0 0 1
561 "GeneID561" 0 2 1 0
562 "GeneID562" 0 0 0 0
563 "GeneID563" 1 1 0 0
564 "GeneID564" 0 0 0 0
565 "GeneID565" 0 0 0 0
566 "GeneID566" 476 600 38 52
567 "GeneID567" 3851 3796 290 341
568 "GeneID568" 81 63 8 12
569 "GeneID569" 465 451 9 7
570 "GeneID570" 35 28 7 15
571 "GeneID571" 111 111 12 18
572 "GeneID572" 1333 1252 39 48
573 "GeneID573" 14 30 0 0
574 "GeneID574" 8367 6118 696 782
575 "GeneID575" 122 206 8 11
576 "GeneID576" 1441 1686 99 124
577 "GeneID577" 0 0 0 0
578 "GeneID578" 180 193 1 2
579 "GeneID579" 18055 17887 1196 1768
580 "GeneID580" 0 0 0 0
581 "GeneID581" 0 0 0 0
582 "GeneID582" 0 0 0 0
583 "GeneID583" 0 0 0 0
584 "GeneID584" 38 22 0 1
585 "GeneID585" 24 7 0 0
586 "GeneID586" 0 1 2 6
587 "GeneID587" 1 1 0 0
588 "GeneID588" 1 2 0 0
589 "GeneID589" 0 0 0 0
590 "GeneID590" 0 0 0 0
591 "GeneID591" 0 0 0 0
592 "GeneID592" 1 0 0 0
593 "GeneID593" 0 0 0 0
594 "GeneID594" 0 0 0 0
595 "GeneID595" 0 0 0 0
596 "GeneID596" 0 0 0 0
597 "GeneID597" 7 6 17 10
598 "GeneID598" 0 0 0 0
599 "GeneID599" 9 3 2 2
600 "GeneID600" 0 0 0 0
601 "GeneID601" 0 0 0 0
602 "GeneID602" 0 0 0 0
603 "GeneID603" 0 0 0 0
604 "GeneID604" 0 0 0 0
605 "GeneID605" 0 0 0 0
606 "GeneID606" 0 0 0 0
607 "GeneID607" 0 0 0 0
608 "GeneID608" 3 5 2 0
609 "GeneID609" 28 32 1 0
610 "GeneID610" 536 457 135 116
611 "GeneID611" 0 0 0 0
612 "GeneID612" 35 27 1 2
613 "GeneID613" 1297 2229 27 52
614 "GeneID614" 0 0 1 1
615 "GeneID615" 0 0 0 0
616 "GeneID616" 371 259 10 9
617 "GeneID617" 1068 643 7 7
618 "GeneID618" 0 0 0 0
619 "GeneID619" 0 0 0 0
620 "GeneID620" 13 7 0 0
621 "GeneID621" 0 0 0 0
622 "GeneID622" 0 0 0 0
623 "GeneID623" 412 446 126 112
624 "GeneID624" 0 0 0 0
625 "GeneID625" 0 0 0 0
626 "GeneID626" 0 0 0 0
627 "GeneID627" 0 1 0 0
628 "GeneID628" 13 5 1 0
629 "GeneID629" 57 35 2 1
630 "GeneID630" 40 21 2 2
631 "GeneID631" 978 634 1 1
632 "GeneID632" 6 7 0 0
633 "GeneID633" 0 1 0 0
634 "GeneID634" 99 121 36 44
635 "GeneID635" 0 0 0 0
636 "GeneID636" 0 0 0 0
637 "GeneID637" 165 272 5 7
638 "GeneID638" 7 8 0 0
639 "GeneID639" 10 4 0 0
640 "GeneID640" 483 523 21 22
641 "GeneID641" 3 2 0 0
642 "GeneID642" 273 335 16 6
643 "GeneID643" 0 0 0 0
644 "GeneID644" 0 0 0 0
645 "GeneID645" 0 0 11 10
646 "GeneID646" 0 0 0 0
647 "GeneID647" 0 0 0 0
648 "GeneID648" 0 0 0 0
649 "GeneID649" 0 0 0 0
650 "GeneID650" 0 0 0 0
651 "GeneID651" 0 0 0 0
652 "GeneID652" 0 0 0 0
653 "GeneID653" 0 0 0 0
654 "GeneID654" 0 0 0 0
655 "GeneID655" 0 0 0 0
656 "GeneID656" 0 0 0 0
657 "GeneID657" 2 0 0 0
658 "GeneID658" 0 0 0 0
659 "GeneID659" 0 0 0 0
660 "GeneID660" 0 0 0 0
661 "GeneID661" 0 0 0 0
662 "GeneID662" 0 0 0 0
663 "GeneID663" 0 0 0 0
664 "GeneID664" 0 0 0 0
665 "GeneID665" 0 0 0 0
666 "GeneID666" 0 0 0 0
667 "GeneID667" 1501 1309 235 284
