Name "RNA4T1A" "RNA4T1B" "EV4T1A" "EV4T1B"
1484 "GeneID1484" 0 0 0 0
1485 "GeneID1485" 0 0 0 0
1486 "GeneID1486" 0 0 0 0
1487 "GeneID1487" 0 0 0 0
1488 "GeneID1488" 1 0 0 1
1489 "GeneID1489" 0 0 0 0
1490 "GeneID1490" 0 0 0 0
1491 "GeneID1491" 0 0 0 0
1492 "GeneID1492" 3 1 0 0
1493 "GeneID1493" 1 0 0 0
1494 "GeneID1494" 0 0 0 0
1495 "GeneID1495" 2 4 0 1
1496 "GeneID1496" 0 0 0 0
1497 "GeneID1497" 0 0 0 0
1498 "GeneID1498" 0 0 0 0
1499 "GeneID1499" 0 0 0 0
1500 "GeneID1500" 0 0 0 0
1501 "GeneID1501" 0 0 0 0
1502 "GeneID1502" 0 0 0 0
1503 "GeneID1503" 0 0 0 0
1504 "GeneID1504" 2 1 0 1
1505 "GeneID1505" 1 0 0 0
1506 "GeneID1506" 1 0 3 4
1507 "GeneID1507" 0 1 0 1
1508 "GeneID1508" 0 1 0 0
1509 "GeneID1509" 0 0 0 0
1510 "GeneID1510" 1 1 0 0
1511 "GeneID1511" 2 1 0 0
1512 "GeneID1512" 1 0 0 0
1513 "GeneID1513" 3 2 0 1
1514 "GeneID1514" 0 0 0 0
1515 "GeneID1515" 0 0 0 0
1516 "GeneID1516" 0 0 0 0
1517 "GeneID1517" 0 0 0 0
1518 "GeneID1518" 0 0 0 0
1519 "GeneID1519" 0 0 0 0
1520 "GeneID1520" 0 0 0 0
1521 "GeneID1521" 0 0 0 0
1522 "GeneID1522" 0 0 0 0
1523 "GeneID1523" 0 0 0 0
1524 "GeneID1524" 0 0 0 0
1525 "GeneID1525" 0 0 0 0
1526 "GeneID1526" 0 0 0 0
1527 "GeneID1527" 0 0 0 0
1528 "GeneID1528" 0 0 0 0
1529 "GeneID1529" 0 0 0 0
1530 "GeneID1530" 0 0 0 0
1531 "GeneID1531" 0 0 0 0
1532 "GeneID1532" 0 1 0 0
1533 "GeneID1533" 0 0 0 0
1534 "GeneID1534" 1 0 0 0
1535 "GeneID1535" 2 1 0 0
1536 "GeneID1536" 0 0 0 0
1537 "GeneID1537" 0 0 0 0
1538 "GeneID1538" 1 1 1 0
1539 "GeneID1539" 0 0 0 0
1540 "GeneID1540" 0 0 0 0
1541 "GeneID1541" 0 0 0 0
1542 "GeneID1542" 0 0 0 0
1543 "GeneID1543" 0 0 0 0
1544 "GeneID1544" 0 0 0 0
1545 "GeneID1545" 0 0 0 0
1546 "GeneID1546" 0 0 0 0
1547 "GeneID1547" 1 0 0 0
1548 "GeneID1548" 0 0 0 0
1549 "GeneID1549" 0 0 0 0
1550 "GeneID1550" 0 0 0 0
1551 "GeneID1551" 0 0 0 0
1552 "GeneID1552" 0 0 0 0
1553 "GeneID1553" 1 1 0 0
1554 "GeneID1554" 0 0 0 0
1555 "GeneID1555" 0 0 0 0
1556 "GeneID1556" 1 2 0 1
1557 "GeneID1557" 0 0 1 0
1558 "GeneID1558" 0 0 0 0
1559 "GeneID1559" 0 0 0 0
1560 "GeneID1560" 0 0 0 0
1561 "GeneID1561" 0 0 0 0
1562 "GeneID1562" 0 0 0 0
1563 "GeneID1563" 0 0 0 0
1564 "GeneID1564" 0 1 0 0
1565 "GeneID1565" 0 0 0 0
1566 "GeneID1566" 4 1 1 0
1567 "GeneID1567" 0 0 0 0
1568 "GeneID1568" 0 0 0 0
1569 "GeneID1569" 0 0 0 0
1570 "GeneID1570" 0 0 0 0
1571 "GeneID1571" 0 0 0 0
1572 "GeneID1572" 0 0 0 1
1573 "GeneID1573" 0 1 0 0
1574 "GeneID1574" 0 0 1 0
1575 "GeneID1575" 0 0 0 0
1576 "GeneID1576" 0 0 0 0
1577 "GeneID1577" 0 0 0 0
1578 "GeneID1578" 6 0 1 0
1579 "GeneID1579" 0 0 0 0
1580 "GeneID1580" 0 0 0 0
1581 "GeneID1581" 6 4 1 2
1582 "GeneID1582" 0 0 0 0
1583 "GeneID1583" 0 0 0 0
1584 "GeneID1584" 0 0 0 0
1585 "GeneID1585" 0 1 0 0
1586 "GeneID1586" 0 0 0 0
1587 "GeneID1587" 0 0 0 0
1588 "GeneID1588" 0 0 1 1
1589 "GeneID1589" 0 0 0 0
1590 "GeneID1590" 0 0 0 0
1591 "GeneID1591" 3 13 0 0
1592 "GeneID1592" 5 26 2 2
1593 "GeneID1593" 0 0 0 0
1594 "GeneID1594" 0 0 0 0
1595 "GeneID1595" 5 4 0 0
1596 "GeneID1596" 0 0 0 0
1597 "GeneID1597" 15 5 0 1
1598 "GeneID1598" 0 0 0 0
1599 "GeneID1599" 0 0 0 0
1600 "GeneID1600" 1 1 0 1
1601 "GeneID1601" 0 0 0 0
1602 "GeneID1602" 2 2 0 0
1603 "GeneID1603" 0 0 0 0
1604 "GeneID1604" 0 0 0 0
1605 "GeneID1605" 0 0 0 0
1606 "GeneID1606" 0 0 0 0
1607 "GeneID1607" 0 0 0 0
1608 "GeneID1608" 0 0 0 0
1609 "GeneID1609" 0 0 0 0
1610 "GeneID1610" 0 0 0 0
1611 "GeneID1611" 1 1 0 0
1612 "GeneID1612" 0 0 0 0
1613 "GeneID1613" 1 0 13 5
1614 "GeneID1614" 0 0 0 0
1615 "GeneID1615" 0 0 0 0
1616 "GeneID1616" 0 1 0 0
1617 "GeneID1617" 2 0 0 0
1618 "GeneID1618" 0 0 0 0
1619 "GeneID1619" 0 0 0 0
1620 "GeneID1620" 0 0 0 0
1621 "GeneID1621" 0 0 0 0
1622 "GeneID1622" 0 0 0 0
1623 "GeneID1623" 0 0 0 0
1624 "GeneID1624" 0 0 0 0
1625 "GeneID1625" 0 0 0 0
1626 "GeneID1626" 0 0 0 0
1627 "GeneID1627" 0 0 0 0
1628 "GeneID1628" 0 1 0 0
1629 "GeneID1629" 0 0 0 0
1630 "GeneID1630" 0 0 0 0
1631 "GeneID1631" 2 2 0 0
1632 "GeneID1632" 0 0 0 0
1633 "GeneID1633" 1 0 0 0
1634 "GeneID1634" 0 0 0 0
1635 "GeneID1635" 0 0 0 0
1636 "GeneID1636" 1 0 0 0
1637 "GeneID1637" 0 0 0 0
1638 "GeneID1638" 0 0 0 0
1639 "GeneID1639" 0 0 0 0
1640 "GeneID1640" 0 0 0 0
1641 "GeneID1641" 0 0 0 0
1642 "GeneID1642" 0 0 0 0
1643 "GeneID1643" 0 0 0 0
1644 "GeneID1644" 0 0 0 0
1645 "GeneID1645" 0 0 0 0
1646 "GeneID1646" 0 0 0 0
1647 "GeneID1647" 0 0 0 0
1648 "GeneID1648" 0 0 0 0
1649 "GeneID1649" 0 0 0 0
1650 "GeneID1650" 1 0 0 0
1651 "GeneID1651" 0 0 0 0
1652 "GeneID1652" 0 0 0 0
1653 "GeneID1653" 0 0 0 0
1654 "GeneID1654" 0 0 0 0
1655 "GeneID1655" 0 0 0 0
1656 "GeneID1656" 0 0 0 0
1657 "GeneID1657" 0 0 0 0
1658 "GeneID1658" 0 0 0 0
1659 "GeneID1659" 0 0 0 0
1660 "GeneID1660" 0 0 0 0
1661 "GeneID1661" 0 0 0 0
1662 "GeneID1662" 0 0 0 0
1663 "GeneID1663" 1 0 1 0
1664 "GeneID1664" 0 0 0 0
1665 "GeneID1665" 0 0 0 0
1666 "GeneID1666" 0 0 0 0
1667 "GeneID1667" 0 0 0 0
1668 "GeneID1668" 0 0 0 0
1669 "GeneID1669" 0 0 0 0
1670 "GeneID1670" 0 0 0 0
1671 "GeneID1671" 0 0 0 0
1672 "GeneID1672" 0 0 0 0
1673 "GeneID1673" 0 0 0 0
1674 "GeneID1674" 0 0 0 0
1675 "GeneID1675" 0 0 0 0
1676 "GeneID1676" 0 0 0 0
1677 "GeneID1677" 1 0 0 0
1678 "GeneID1678" 0 1 0 0
1679 "GeneID1679" 0 0 0 0
1680 "GeneID1680" 0 0 0 0
1681 "GeneID1681" 0 0 0 0
1682 "GeneID1682" 0 0 0 0
1683 "GeneID1683" 0 0 0 0
1684 "GeneID1684" 0 0 0 0
1685 "GeneID1685" 0 0 0 0
1686 "GeneID1686" 0 0 0 0
1687 "GeneID1687" 0 0 0 0
1688 "GeneID1688" 0 0 0 0
1689 "GeneID1689" 0 0 0 0
1690 "GeneID1690" 0 0 0 0
1691 "GeneID1691" 0 0 0 0
1692 "GeneID1692" 0 0 0 0
1693 "GeneID1693" 0 0 0 0
1694 "GeneID1694" 0 0 0 0
1695 "GeneID1695" 0 0 1 0
1696 "GeneID1696" 0 0 0 0
1697 "GeneID1697" 0 0 0 0
1698 "GeneID1698" 0 0 0 0
1699 "GeneID1699" 0 0 0 0
1700 "GeneID1700" 0 0 0 1
1701 "GeneID1701" 0 0 0 0
1702 "GeneID1702" 0 0 0 0
1703 "GeneID1703" 0 0 0 0
1704 "GeneID1704" 0 0 0 0
1705 "GeneID1705" 0 0 0 0
1706 "GeneID1706" 0 0 0 0
1707 "GeneID1707" 0 0 0 0
1708 "GeneID1708" 0 0 0 0
1709 "GeneID1709" 0 0 0 0
1710 "GeneID1710" 0 0 0 0
1711 "GeneID1711" 0 0 0 0
1712 "GeneID1712" 0 0 0 0
1713 "GeneID1713" 0 0 0 0
1714 "GeneID1714" 0 0 0 0
1715 "GeneID1715" 0 0 0 0
1716 "GeneID1716" 0 0 0 0
1717 "GeneID1717" 0 0 0 0
1718 "GeneID1718" 0 0 0 0
1719 "GeneID1719" 0 0 0 0
1720 "GeneID1720" 0 0 0 0
1721 "GeneID1721" 1 0 0 0
1722 "GeneID1722" 386 297 69 110
1723 "GeneID1723" 0 0 0 0
1724 "GeneID1724" 0 0 0 0
1725 "GeneID1725" 0 0 0 0
1726 "GeneID1726" 0 0 0 0
1727 "GeneID1727" 7 4 11 6
1728 "GeneID1728" 0 0 0 0
1729 "GeneID1729" 0 0 0 0
1730 "GeneID1730" 0 0 0 0
1731 "GeneID1731" 0 0 0 0
1732 "GeneID1732" 0 0 0 0
1733 "GeneID1733" 0 0 0 0
1734 "GeneID1734" 0 0 0 0
1735 "GeneID1735" 0 0 0 0
1736 "GeneID1736" 0 0 0 0
1737 "GeneID1737" 0 0 0 0
1738 "GeneID1738" 0 0 1 0
1739 "GeneID1739" 0 0 0 0
1740 "GeneID1740" 0 0 0 0
1741 "GeneID1741" 0 0 0 0
1742 "GeneID1742" 0 1 0 0
1743 "GeneID1743" 0 0 0 0
1744 "GeneID1744" 0 0 0 0
1745 "GeneID1745" 0 0 0 0
1746 "GeneID1746" 0 0 0 0
1747 "GeneID1747" 0 0 0 0
1748 "GeneID1748" 0 0 0 0
1749 "GeneID1749" 0 0 0 0
1750 "GeneID1750" 2 0 0 0
1751 "GeneID1751" 11 11 0 0
1752 "GeneID1752" 0 0 0 0
1753 "GeneID1753" 0 0 0 0
1754 "GeneID1754" 0 0 0 0
1755 "GeneID1755" 0 0 0 0
1756 "GeneID1756" 0 0 0 0
1757 "GeneID1757" 0 0 0 0
1758 "GeneID1758" 0 0 0 0
1759 "GeneID1759" 0 2 0 1
1760 "GeneID1760" 0 0 0 0
1761 "GeneID1761" 0 0 0 0
1762 "GeneID1762" 0 0 0 0
1763 "GeneID1763" 1 0 0 0
1764 "GeneID1764" 2 0 0 0
1765 "GeneID1765" 0 0 0 0
1766 "GeneID1766" 0 0 0 0
1767 "GeneID1767" 0 0 0 0
1768 "GeneID1768" 0 0 0 0
1769 "GeneID1769" 0 0 0 0
1770 "GeneID1770" 0 0 0 0
1771 "GeneID1771" 0 0 0 0
1772 "GeneID1772" 0 0 0 0
1773 "GeneID1773" 0 0 0 0
1774 "GeneID1774" 0 1 0 0
1775 "GeneID1775" 0 0 0 0
1776 "GeneID1776" 0 0 0 0
1777 "GeneID1777" 0 0 0 1
1778 "GeneID1778" 0 0 0 0
1779 "GeneID1779" 0 0 0 0
1780 "GeneID1780" 1 0 0 0
1781 "GeneID1781" 1 2 0 0
1782 "GeneID1782" 0 0 0 0
1783 "GeneID1783" 0 0 0 0
1784 "GeneID1784" 0 0 0 0
1785 "GeneID1785" 0 0 0 0
1786 "GeneID1786" 0 0 0 0
1787 "GeneID1787" 0 0 0 0
1788 "GeneID1788" 0 0 0 0
1789 "GeneID1789" 0 0 0 0
1790 "GeneID1790" 0 0 0 0
1791 "GeneID1791" 0 0 0 0
1792 "GeneID1792" 0 0 0 0
1793 "GeneID1793" 0 0 0 0
1794 "GeneID1794" 0 0 0 0
1795 "GeneID1795" 0 0 0 0
1796 "GeneID1796" 0 0 0 0
1797 "GeneID1797" 2 10 0 0
1798 "GeneID1798" 0 0 0 0
1799 "GeneID1799" 0 0 0 0
1800 "GeneID1800" 0 0 0 0
1801 "GeneID1801" 5 5 0 0
1802 "GeneID1802" 0 0 0 0
1803 "GeneID1803" 1 4 0 0
1804 "GeneID1804" 0 0 0 0
1805 "GeneID1805" 0 0 0 0
1806 "GeneID1806" 1 0 0 0
1807 "GeneID1807" 9 3 1 0
1808 "GeneID1808" 0 0 0 0
1809 "GeneID1809" 0 0 0 0
1810 "GeneID1810" 0 0 0 0
1811 "GeneID1811" 0 0 0 0
1812 "GeneID1812" 0 0 0 0
1813 "GeneID1813" 0 0 0 0
1814 "GeneID1814" 0 0 0 0
1815 "GeneID1815" 0 0 0 0
1816 "GeneID1816" 0 0 0 0
1817 "GeneID1817" 0 0 0 0
1818 "GeneID1818" 0 3 1 0
1819 "GeneID1819" 0 0 0 0
1820 "GeneID1820" 0 0 0 0
1821 "GeneID1821" 11 6 0 0
1822 "GeneID1822" 0 0 0 0
1823 "GeneID1823" 0 0 0 0
1824 "GeneID1824" 0 0 0 0
1825 "GeneID1825" 7 8 0 0
1826 "GeneID1826" 0 0 0 0
1827 "GeneID1827" 2710 2883 153 152
1828 "GeneID1828" 0 0 0 0
1829 "GeneID1829" 1 3 1 0
1830 "GeneID1830" 0 0 0 0
1831 "GeneID1831" 0 0 0 0
1832 "GeneID1832" 0 0 0 0
1833 "GeneID1833" 0 0 0 0
1834 "GeneID1834" 1 2 0 0
1835 "GeneID1835" 1 1 0 0
1836 "GeneID1836" 0 0 0 0
1837 "GeneID1837" 0 0 0 1
1838 "GeneID1838" 0 0 0 0
1839 "GeneID1839" 0 0 0 0
1840 "GeneID1840" 0 0 0 0
1841 "GeneID1841" 0 0 0 0
1842 "GeneID1842" 0 0 0 0
1843 "GeneID1843" 0 0 0 0
1844 "GeneID1844" 0 0 1 0
1845 "GeneID1845" 0 0 0 0
1846 "GeneID1846" 6 5 0 2
1847 "GeneID1847" 0 0 0 0
1848 "GeneID1848" 0 0 0 0
1849 "GeneID1849" 0 0 0 0
1850 "GeneID1850" 0 1 0 0
1851 "GeneID1851" 0 0 0 0
1852 "GeneID1852" 0 0 1 0
1853 "GeneID1853" 0 0 0 0
1854 "GeneID1854" 0 0 0 0
1855 "GeneID1855" 1 0 0 0
1856 "GeneID1856" 0 0 0 0
1857 "GeneID1857" 58 59 8 7
1858 "GeneID1858" 2 0 0 0
1859 "GeneID1859" 0 0 0 0
1860 "GeneID1860" 0 0 31 16
1861 "GeneID1861" 1 0 0 0
1862 "GeneID1862" 0 0 0 0
1863 "GeneID1863" 0 0 0 0
1864 "GeneID1864" 0 0 0 0
1865 "GeneID1865" 0 0 0 0
1866 "GeneID1866" 70 57 1 0
1867 "GeneID1867" 72 89 9 28
1868 "GeneID1868" 0 0 0 0
1869 "GeneID1869" 0 0 0 0
1870 "GeneID1870" 0 0 0 0
1871 "GeneID1871" 0 0 2 0
1872 "GeneID1872" 0 0 0 0
1873 "GeneID1873" 0 0 0 0
1874 "GeneID1874" 0 0 0 0
1875 "GeneID1875" 0 0 0 0
1876 "GeneID1876" 0 0 0 0
1877 "GeneID1877" 8 4 1 0
1878 "GeneID1878" 67 35 3 4
1879 "GeneID1879" 0 1 0 0
1880 "GeneID1880" 0 0 0 0
1881 "GeneID1881" 0 0 0 0
1882 "GeneID1882" 0 0 0 0
1883 "GeneID1883" 0 0 0 0
1884 "GeneID1884" 0 0 0 0
1885 "GeneID1885" 0 0 0 0
1886 "GeneID1886" 0 0 0 0
1887 "GeneID1887" 0 0 0 0
1888 "GeneID1888" 0 0 0 0
1889 "GeneID1889" 0 0 0 0
1890 "GeneID1890" 0 0 0 0
1891 "GeneID1891" 0 0 0 0
1892 "GeneID1892" 181 162 17 13
1893 "GeneID1893" 1316 1723 125 163
1894 "GeneID1894" 67 80 9 10
1895 "GeneID1895" 0 0 0 0
1896 "GeneID1896" 8621 6495 605 566
1897 "GeneID1897" 3 0 0 0
1898 "GeneID1898" 0 0 2 0
1899 "GeneID1899" 30 30 6 8
1900 "GeneID1900" 24584 31411 776 902
1901 "GeneID1901" 8 2 0 1
1902 "GeneID1902" 262 262 24 22
1903 "GeneID1903" 2 3 0 0
1904 "GeneID1904" 238 229 32 29
1905 "GeneID1905" 3 1 0 0
1906 "GeneID1906" 78 145 16 28
1907 "GeneID1907" 1203 1111 101 137
1908 "GeneID1908" 10901 11584 1383 1348
